"","Date","MaxTemp","MinTemp","GDDDaily","M800","M901","M1300","M1500","H102","B504","B505","P200"
"30","06/07/2022",76.64,51.26,13.95,487.98,487.98,468.99,468.99,441.81,415.8,269.91,64.53
"31","06/08/2022",73.4,58.46,15.93,503.91,503.91,484.92,484.92,457.74,431.73,285.84,80.46
"32","06/09/2022",76.28,47.66,13.14,517.05,517.05,498.06,498.06,470.88,444.87,298.98,93.6
"33","06/10/2022",77.72,52.7,15.21,532.26,532.26,513.27,513.27,486.09,460.08,314.19,108.81
"34","06/11/2022",70.34,59.36,14.85,547.11,547.11,528.12,528.12,500.94,474.93,329.04,123.66
"35","06/12/2022",75.92,59.18,17.55,564.66,564.66,545.67,545.67,518.49,492.48,346.59,141.21
"36","06/13/2022",77.36,55.76,16.56,581.22,581.22,562.23,562.23,535.05,509.04,363.15,157.77
"37","06/14/2022",95.72,64.76,25.38,606.6,606.6,587.61,587.61,560.43,534.42,388.53,183.15
"38","06/15/2022",93.2,75.2,30.6,637.2,637.2,618.21,618.21,591.03,565.02,419.13,213.75
"39","06/16/2022",86.54,62.78,24.39,661.59,661.59,642.6,642.6,615.42,589.41,443.52,238.14
"40","06/17/2022",81.86,59.54,20.7,682.29,682.29,663.3,663.3,636.12,610.11,464.22,258.84
"41","06/18/2022",78.98,53.96,16.47,698.76,698.76,679.77,679.77,652.59,626.58,480.69,275.31
"42","06/19/2022",84.2,51.98,18.09,716.85,716.85,697.86,697.86,670.68,644.67,498.78,293.4
"43","06/20/2022",91.4,67.1,26.55,743.4,743.4,724.41,724.41,697.23,671.22,525.33,319.95
"44","06/21/2022",94.46,73.04,29.52,772.92,772.92,753.93,753.93,726.75,700.74,554.85,349.47
"45","06/22/2022",83.66,60.98,22.32,795.24,795.24,776.25,776.25,749.07,723.06,577.17,371.79
"46","06/23/2022",87.62,55.76,20.88,816.12,816.12,797.13,797.13,769.95,743.94,598.05,392.67
"47","06/24/2022",89.6,64.94,25.47,841.59,841.59,822.6,822.6,795.42,769.41,623.52,418.14
"48","06/25/2022",85.1,62.06,23.58,865.17,865.17,846.18,846.18,819,792.99,647.1,441.72
"49","06/26/2022",75.2,62.06,18.63,883.8,883.8,864.81,864.81,837.63,811.62,665.73,460.35
"50","06/27/2022",77.72,51.8,14.76,898.56,898.56,879.57,879.57,852.39,826.38,680.49,475.11
"51","06/28/2022",85.28,54.14,19.71,918.27,918.27,899.28,899.28,872.1,846.09,700.2,494.82
"52","06/29/2022",87.08,58.1,22.05,940.32,940.32,921.33,921.33,894.15,868.14,722.25,516.87
"53","06/30/2022",90.5,72.68,29.34,969.66,969.66,950.67,950.67,923.49,897.48,751.59,546.21
"54","07/01/2022",82.94,69.26,26.1,995.76,995.76,976.77,976.77,949.59,923.58,777.69,572.31
"55","07/02/2022",86.72,52.16,19.08,1014.84,1014.84,995.85,995.85,968.67,942.66,796.77,591.39
"56","07/03/2022",88.7,57.38,21.69,1036.53,1036.53,1017.54,1017.54,990.36,964.35,818.46,613.08
"57","07/04/2022",81.5,59.72,20.61,1057.14,1057.14,1038.15,1038.15,1010.97,984.96,839.07,633.69
"58","07/05/2022",88.7,68.18,27.09,1084.23,1084.23,1065.24,1065.24,1038.06,1012.05,866.16,660.78
"59","07/06/2022",81.14,70.16,25.65,1109.88,1109.88,1090.89,1090.89,1063.71,1037.7,891.81,686.43
"60","07/07/2022",85.28,63.32,24.3,1134.18,1134.18,1115.19,1115.19,1088.01,1062,916.11,710.73
"61","07/08/2022",82.04,68.9,25.47,1159.65,1159.65,1140.66,1140.66,1113.48,1087.47,941.58,736.2
"62","07/09/2022",79.52,55.76,17.64,1177.29,1177.29,1158.3,1158.3,1131.12,1105.11,959.22,753.84
"63","07/10/2022",81.32,52.16,16.74,1194.03,1194.03,1175.04,1175.04,1147.86,1121.85,975.96,770.58
"64","07/11/2022",87.8,70.7,28.35,1222.38,1222.38,1203.39,1203.39,1176.21,1150.2,1004.31,798.93
"65","07/12/2022",83.3,62.78,23.04,1245.42,1245.42,1226.43,1226.43,1199.25,1173.24,1027.35,821.97
"66","07/13/2022",78.8,61.52,20.16,1265.58,1265.58,1246.59,1246.59,1219.41,1193.4,1047.51,842.13
"67","07/14/2022",81.5,52.88,17.19,1282.77,1282.77,1263.78,1263.78,1236.6,1210.59,1064.7,859.32
"68","07/15/2022",77,62.6,19.8,1302.57,1302.57,1283.58,1283.58,1256.4,1230.39,1084.5,879.12
"69","07/16/2022",80.06,60.8,20.43,1323,1323,1304.01,1304.01,1276.83,1250.82,1104.93,899.55
"70","07/17/2022",84.02,62.24,23.13,1346.13,1346.13,1327.14,1327.14,1299.96,1273.95,1128.06,922.68
"71","07/18/2022",90.5,59.72,22.86,1368.99,1368.99,1350,1350,1322.82,1296.81,1150.92,945.54
"72","07/19/2022",88.52,70.7,28.35,1397.34,1397.34,1378.35,1378.35,1351.17,1325.16,1179.27,973.89
"73","07/20/2022",84.56,72.14,28.35,1425.69,1425.69,1406.7,1406.7,1379.52,1353.51,1207.62,1002.24
"74","07/21/2022",89.42,63.68,24.84,1450.53,1450.53,1431.54,1431.54,1404.36,1378.35,1232.46,1027.08
"75","07/22/2022",88.88,57.2,21.6,1472.13,1472.13,1453.14,1453.14,1425.96,1399.95,1254.06,1048.68
"76","07/23/2022",90.14,68,27,1499.13,1499.13,1480.14,1480.14,1452.96,1426.95,1281.06,1075.68
"77","07/24/2022",82.76,70.16,26.46,1525.59,1525.59,1506.6,1506.6,1479.42,1453.41,1307.52,1102.14
"78","07/25/2022",77.9,56.3,17.1,1542.69,1542.69,1523.7,1523.7,1496.52,1470.51,1324.62,1119.24
"79","07/26/2022",81.68,59.9,20.79,1563.48,1563.48,1544.49,1544.49,1517.31,1491.3,1345.41,1140.03
"80","07/27/2022",82.58,68,25.29,1588.77,1588.77,1569.78,1569.78,1542.6,1516.59,1370.7,1165.32
"81","07/28/2022",77.9,63.86,20.88,1609.65,1609.65,1590.66,1590.66,1563.48,1537.47,1391.58,1186.2
